,TestEMA01,TestEMA03,TestEMA05,TestEMA07,PredEMA01,PredEMA03,PredEMA05,PredEMA07,TestEMA005,PredEMA005
69,7.730000024906546,7.3500000919364465,7.920000281055295,8.680000496782379,8.266103,6.742192,6.962076,6.9226403,7.870000183661298,7.9202375
70,8.050000532094385,8.410000135106603,9.409999643339187,10.229999400205893,8.26413,6.929113,7.3401823,7.265146,8.02000045506362,7.9285
71,7.690000414354352,7.23999997281879,6.949999893166116,6.219999951817094,8.265292,7.275485,7.4906263,7.923102,7.84999998884648,7.9362636
72,7.840000614361461,7.829999797739818,8.079999965484438,8.310000304050753,8.263989,7.336733,7.283092,7.7676945,7.909999978436528,7.9402943
73,7.920000439260898,8.060000163087262,8.34000011012108,8.510000569887477,8.2650795,7.5732427,7.559373,8.141844,7.949999773211758,7.94281
74,7.960000049813091,8.130000413314285,8.31999949212815,8.35999953977017,8.264173,7.7435546,7.8796453,8.441756,7.960000465473571,7.9442353
75,7.610000589454915,7.039999988807737,6.409999643339186,5.660000270821163,8.263349,7.7995877,8.189345,8.463166,7.789999999256432,7.947752
76,7.910000385674087,8.109999519532138,8.499999794550222,9.120000151194636,8.261497,7.67548,7.909634,8.289012,7.930000173251345,7.9486065
77,8.190000074719638,8.890000480467862,9.600000254757724,10.229999400205893,8.262765,7.811206,8.0742445,8.504539,8.069999752391853,7.955664
78,8.27000050341412,8.920000222246365,9.300000189013796,9.37000031734259,8.2628,8.043261,8.397108,8.596284,8.120000239428897,7.9648294
79,8.500000528320667,9.420000182273998,9.949999893166115,10.229999400205893,8.262824,8.133166,8.326343,8.680534,8.240000218608994,7.972606
80,8.560000849841531,9.329999677822714,9.53000006410033,9.439999779023225,8.265154,8.250143,8.321145,8.798141,8.280000013384225,7.976929
81,8.08000008905977,7.639999940840895,6.6100005637541885,5.4200002176538185,8.266818,8.40624,8.472827,8.766054,8.050000747285846,7.9804697
82,8.210000181893259,8.170000282204917,8.010000432266331,8.209999838836486,8.266159,8.26467,8.145416,8.151232,8.120000239428897,7.9796915
83,8.470000367560235,8.960000091137,9.399999991782009,10.02000035057218,8.266471,8.161531,8.078096,8.171674,8.260000413423812,7.982212
84,8.460000313973426,8.789999848904449,8.899999663062365,8.8900002110079,8.266852,8.24981,8.210642,8.70346,8.260000413423812,7.9819674
85,8.68000028529316,9.329999677822714,9.750000287629687,10.090000476844624,8.26731,8.298681,8.285176,8.69679,8.380000392603907,7.984077
